calc_time,funding_interval_hours,last_funding_rate
1748736000001,8,0.00008890
1748764800002,8,0.00008369
1748793600000,8,0.00008269
1748822400001,8,0.00010000
1748851200000,8,0.00002897
1748880000000,8,0.00001204
1748908800000,8,0.00010000
1748937600000,8,0.00004476
1748966400001,8,0.00010000
1748995200000,8,-0.00015146
1749024000000,8,-0.00006352
1749052800000,8,0.00001624
1749081600016,8,-0.00007542
1749110400000,8,0.00004416
1749139200000,8,0.00001950
1749168000002,8,-0.00013596
1749196800000,8,0.00010000
1749225600006,8,0.00010000
1749254400000,8,0.00004435
1749283200000,8,0.00010000
1749312000002,8,0.00010000
1749340800000,8,0.00010000
1749369600000,8,0.00001835
1749398400000,8,0.00010000
1749427200000,8,0.00008770
1749456000001,8,0.00010000
1749484800001,8,0.00010000
1749513600000,8,0.00010000
1749542400001,8,0.00010000
1749571200003,8,0.00010000
1749600000000,8,0.00010000
1749628800000,8,0.00010000
1749657600010,8,0.00010000
1749686400002,8,0.00007395
1749715200003,8,0.00007084
1749744000001,8,-0.00011033
1749772800000,8,-0.00016755
1749801600001,8,-0.00013816
1749830400004,8,0.00010000
1749859200000,8,0.00010000
1749888000000,8,-0.00005741
1749916800000,8,-0.00013446
1749945600005,8,0.00010000
1749974400009,8,0.00010000
1750003200000,8,-0.00004517
1750032000000,8,-0.00005438
1750060800000,8,0.00010000
1750089600003,8,0.00010000
1750118400000,8,0.00010000
1750147200006,8,0.00010000
1750176000001,8,-0.00000829
1750204800001,8,0.00009032
1750233600001,8,-0.00003117
1750262400001,8,0.00010000
1750291200005,8,0.00010000
1750320000003,8,-0.00010648
1750348800000,8,-0.00019458
1750377600000,8,0.00010000
1750406400002,8,0.00010000
1750435200001,8,-0.00010756
1750464000002,8,-0.00006860
1750492800005,8,0.00010000
1750521600000,8,-0.00024497
1750550400005,8,0.00001313
1750579200000,8,0.00005857
1750608000003,8,-0.00013468
1750636800000,8,0.00009643
1750665600004,8,0.00010000
1750694400013,8,0.00001719
1750723200003,8,0.00010000
1750752000000,8,0.00010000
1750780800000,8,0.00010000
1750809600005,8,0.00010000
1750838400000,8,0.00006483
1750867200005,8,-0.00007694
1750896000000,8,0.00008928
1750924800006,8,0.00006750
1750953600007,8,0.00001232
1750982400000,8,0.00010000
1751011200000,8,0.00010000
1751040000009,8,-0.00009678
1751068800001,8,0.00010000
1751097600002,8,0.00010000
1751126400000,8,-0.00010723
1751155200004,8,0.00010000
1751184000001,8,0.00010000
1751212800001,8,0.00005079
1751241600000,8,0.00010000
1751270400005,8,-0.00009958
1751299200002,8,-0.00009767
