calc_time,funding_interval_hours,last_funding_rate
1615795200016,8,0.00010000
1615824000030,8,0.00011008
1615852800005,8,0.00048443
1615881600008,8,0.00058025
1615910400012,8,0.00046844
1615939200010,8,0.00078288
1615968000000,8,0.00078016
1615996800009,8,0.00123402
1616025600001,8,0.00108234
1616054400000,8,0.00167323
1616083200000,8,0.00221312
1616112000011,8,0.00019160
1616140800001,8,0.00124040
1616169600000,8,0.00108432
1616198400000,8,0.00168549
1616227200000,8,0.00185454
1616256000007,8,0.00286369
1616284800000,8,0.00099456
1616313600000,8,0.00057819
1616342400000,8,0.00055426
1616371200007,8,0.00052683
1616400000001,8,0.00071850
1616428800000,8,0.00093795
1616457600000,8,0.00027278
1616486400010,8,0.00010000
1616515200023,8,0.00010000
1616544000002,8,0.00010000
1616572800000,8,0.00060551
1616601600000,8,0.00057530
1616630400000,8,0.00010000
1616659200000,8,0.00010000
1616688000000,8,0.00010000
1616716800008,8,0.00010000
1616745600000,8,0.00010000
1616774400012,8,0.00036554
1616803200018,8,0.00010000
1616832000000,8,0.00023991
1616860800001,8,0.00010000
1616889600000,8,0.00083887
1616918400000,8,0.00051598
1616947200005,8,0.00121781
1616976000003,8,0.00097081
1617004800000,8,0.00106269
1617033600000,8,0.00121208
1617062400018,8,0.00108215
1617091200012,8,0.00200638
1617120000001,8,0.00170140
1617148800000,8,0.00152602
1617177600000,8,0.00137185
1617206400000,8,0.00073073
